Model           MSE        MAE        RMSE       R2         Time      
----------------------------------------------------------------------
Persistence     232.8546     11.5196     15.2596     -2.8173     0.00
Ridge           41.3337     5.2291     6.4291     0.3224     0.13
MLP             18.1115     2.9723     4.2558     0.7031     271.99
TCN             18.4575     2.9911     4.2962     0.6974     378.11
GNN             17.2853     2.8127     4.1576     0.7166     427.99
DeepONet        15.4123     2.6591     3.9259     0.7473     396.57
Transformer     16.4120     2.6997     4.0512     0.7310     2958.43
LSTM            15.3551     2.5992     3.9186     0.7483     522.17
